Task ID,Task Name,Description,Status,Priority,Assignee,Start Date,Due Date,Time Estimate,Tags,List
AUT-001,RFIs: modelar que bloquean,Columnas blocking_type y blocking_resource_id mas indice idx_rfis_blocking.,Complete,Normal,Carolina Lopez,2026-09-10,2026-09-10,4h,Fase 0 - Entregado,Fase 0 - Entregado
AUT-002,Depurar el alcance del BFF,"Fuera la verificacion biometrica propia (8 endpoints, 29 clases, 33 pruebas, tabla verification_sessions), la coleccion Postman, Thymeleaf y los listados globales de Kira.",Complete,Normal,Carolina Lopez,2026-09-11,2026-09-11,6h,Fase 0 - Entregado,Fase 0 - Entregado
AUT-003,Corregir ids locales enviados a Kira,Cotizar y pagar mandaban virtual_account_id y recipient_id locales en vez de kiraAccountId y kiraRecipientId. Contra el sandbox real habrian fallado siempre.,Complete,Urgent,Carolina Lopez,2026-09-11,2026-09-11,4h,Fase 0 - Entregado,Fase 0 - Entregado
AUT-004,Corregir defectos D1 a D6,createdAt perdido en 7 agregados; validacion de cuenta y destinatario dentro de la empresa; 503 kira_not_configured; actuator/health; 400/404/413 en vez de 500; semilla en CREATED.,Complete,High,Carolina Lopez,2026-09-11,2026-09-11,7h,Fase 0 - Entregado,Fase 0 - Entregado
AUT-005,Exponer 9 rutas de Kira al portal,"Documentos de RFI, preview de pago, eventos de pago, pagos y destinatarios de Kira, sincronizacion de depositos, catalogo de paises.",Complete,Normal,Carolina Lopez,2026-09-11,2026-09-11,6h,Fase 0 - Entregado,Fase 0 - Entregado
AUT-006,Construir 5 workers de reconciliacion,"Pagos 10 min, cotizaciones 5 min, liveness 1 h, RFIs 15 min, reproyeccion de webhooks 30 min con tope de 5 intentos.",Complete,High,Carolina Lopez,2026-09-11,2026-09-11,7h,Fase 0 - Entregado,Fase 0 - Entregado
AUT-007,Consolidar la idempotencia (F1),"IdempotencyKeyStore guarda la clave en transaccion propia REQUIRES_NEW antes de llamar a Kira, para que el rollback no la borre.",Complete,High,Carolina Lopez,2026-09-11,2026-09-11,3h,Fase 0 - Entregado,Fase 0 - Entregado
AUT-008,Cotizacion itemizada 2026-06-01,createQuotation viaja con X-Api-Version 2026-06-01 para recibir fees[] y totals.,Complete,Normal,Carolina Lopez,2026-09-11,2026-09-11,2h,Fase 0 - Entregado,Fase 0 - Entregado
AUT-009,Credenciales de sandbox y secretos,"POST /auth da 200. .env en local ignorado por git, .env.example versionado, cert y prod desde el gestor de secretos.",Complete,High,Carolina Lopez,2026-09-14,2026-09-14,4h,Fase 0 - Entregado,Fase 0 - Entregado
AUT-010,Documentos KYB: subida de empresa y de UBO,"Era el bloqueador numero 1 del MVP. POST /api/onboarding/documents y POST /api/ubos/{id}/documents, en base64 dentro del PUT /v1/users, con tope de 10 archivos y 7 MB.",Complete,Urgent,Carolina Lopez,2026-09-14,2026-09-14,7h,Fase 0 - Entregado,Fase 0 - Entregado
AUT-011,Corregir emparejamiento de UBOs por email,Kira empareja associated_persons[] por email y la tabla ubos no tenia esa columna: cada sincronizacion creaba personas duplicadas.,Complete,High,Carolina Lopez,2026-09-14,2026-09-14,3h,Fase 0 - Entregado,Fase 0 - Entregado
AUT-012,Verificar documentos KYB end-to-end en sandbox,"Empresa juriscop: archivo subido y recuperable, fusion del array correcta, payload persistido en 312 bytes sin base64, 5 UBO duplicados resueltos en 1 persona.",Complete,High,Carolina Lopez,2026-09-14,2026-09-14,4h,Fase 0 - Entregado,Fase 0 - Entregado
AUT-013,Borrador de onboarding,"OnboardingDraftService, OnboardingDraftController y sus pruebas.",Complete,Normal,Carolina Lopez,2026-09-15,2026-09-15,4h,Fase 0 - Entregado,Fase 0 - Entregado
AUT-014,Auditoria de alcance y cronograma,"Revision completa del repositorio, 314 pruebas verdes y plan de entrega al 15 de octubre.",Complete,Normal,Carolina Lopez,2026-09-15,2026-09-15,3h,Fase 0 - Entregado,Fase 0 - Entregado
AUT-015,Excluir type y external_id del PUT de onboarding,"DEFECTO ABIERTO Y CONFIRMADO. completeProfile reenvia la fusion del payload, que incluye type (linea 82) y external_id (linea 87). Kira solo los acepta en el alta, asi que PUT /api/onboarding falla siempre contra Kira real. Revisar de paso el comentario que afirma que Kira borra lo que no viaja: la documentacion dice lo contrario.",to do,Urgent,Carolina Lopez,2026-09-16,2026-09-16,2h,Fase 1 - Desbloqueo de onboarding,Fase 1 - Desbloqueo de onboarding
AUT-016,Prueba de regresion del contrato del PUT,Fijar en una prueba que el cuerpo del PUT no lleva type ni external_id.,to do,High,Carolina Lopez,2026-09-16,2026-09-16,1h30m,Fase 1 - Desbloqueo de onboarding,Fase 1 - Desbloqueo de onboarding
AUT-017,Verificar el PUT contra el sandbox,Con la empresa juriscop: PUT 200 y missing_fields correcto.,to do,High,Carolina Lopez,2026-09-16,2026-09-16,2h15m,Fase 1 - Desbloqueo de onboarding,Fase 1 - Desbloqueo de onboarding
AUT-018,Exponer el enum cerrado de business_type,"sociedad_por_acciones_simplificada da 400 y llc da 200. El portal debe ofrecer la lista, no texto libre.",to do,Normal,Carolina Lopez,2026-09-16,2026-09-16,1h30m,Fase 1 - Desbloqueo de onboarding,Fase 1 - Desbloqueo de onboarding
AUT-019,Commitear la rama depuracion-bff,Revisar git diff master y partir en commits tematicos. Hoy son 33 ficheros sin commitear.,to do,High,Carolina Lopez,2026-09-17,2026-09-17,1h30m,Fase 1 - Desbloqueo de onboarding,Fase 1 - Desbloqueo de onboarding
AUT-020,Bruno modo B: Sesion y Onboarding KYB,"Carpetas 00 y 01 contra el sandbox real, registrando cada defecto.",to do,High,Carolina Lopez,2026-09-17,2026-09-17,1h45m,Fase 1 - Desbloqueo de onboarding,Fase 1 - Desbloqueo de onboarding
AUT-021,Bruno modo B: Beneficiarios finales,Carpeta 02 contra el sandbox real.,to do,High,Carolina Lopez,2026-09-17,2026-09-17,4h,Fase 1 - Desbloqueo de onboarding,Fase 1 - Desbloqueo de onboarding
AUT-022,Corregir defectos de onboarding y UBOs,Dia completo reservado a lo que destape el recorrido del 17.,to do,High,Carolina Lopez,2026-09-18,2026-09-18,6h30m,Fase 1 - Desbloqueo de onboarding,Fase 1 - Desbloqueo de onboarding
AUT-023,Bruno 04 Cuentas virtuales,"Apertura, activacion, readiness y modos contra el sandbox.",to do,High,Carolina Lopez,2026-09-21,2026-09-21,7h30m,Fase 2 - Tesoreria en sandbox,Fase 2 - Tesoreria en sandbox
AUT-024,Bruno 05 Depositos,"Carpeta 05 contra el sandbox, incluida la sincronizacion.",to do,High,Carolina Lopez,2026-09-22,2026-09-22,5h30m,Fase 2 - Tesoreria en sandbox,Fase 2 - Tesoreria en sandbox
AUT-025,Decidir el sexto worker de depositos,"Si conviene un worker que llame a RecordDepositService.syncFromKira() por cuenta. Decision pendiente, no urgente.",to do,Low,Carolina Lopez,2026-09-22,2026-09-22,2h,Fase 2 - Tesoreria en sandbox,Fase 2 - Tesoreria en sandbox
AUT-026,Bruno 06 Destinatarios,Verificar el RecipientMapper de 29 columnas y el enmascarado de account_number y address.,to do,High,Carolina Lopez,2026-09-23,2026-09-23,7h30m,Fase 2 - Tesoreria en sandbox,Fase 2 - Tesoreria en sandbox
AUT-027,Bruno 07 Cotizaciones,Carpeta 07 contra el sandbox.,to do,High,Carolina Lopez,2026-09-24,2026-09-24,4h,Fase 2 - Tesoreria en sandbox,Fase 2 - Tesoreria en sandbox
AUT-028,Subir CreateQuoteService a 2026-06-01,Sigue en 2026-04-14 y no esta verificado que campos se pierden.,to do,Normal,Carolina Lopez,2026-09-24,2026-09-24,3h30m,Fase 2 - Tesoreria en sandbox,Fase 2 - Tesoreria en sandbox
AUT-029,Corregir defectos de tesoreria,Dia reservado a lo que destape la semana.,to do,High,Carolina Lopez,2026-09-25,2026-09-25,6h30m,Fase 2 - Tesoreria en sandbox,Fase 2 - Tesoreria en sandbox
AUT-030,Bruno 08 Pagos: preview y ejecucion,El flujo con mas traduccion de ids y donde aparecio el defecto grave del 11-sep. Maximo cuidado.,to do,Urgent,Carolina Lopez,2026-09-28,2026-09-28,7h30m,"Fase 3 - Pagos, webhooks y RFIs","Fase 3 - Pagos, webhooks y RFIs"
AUT-031,"Pagos: eventos, comprobante y maker-checker","Eventos, comprobante, blockedByRfiId, maker-checker y atribucion por user_id.",to do,High,Carolina Lopez,2026-09-29,2026-09-29,7h30m,"Fase 3 - Pagos, webhooks y RFIs","Fase 3 - Pagos, webhooks y RFIs"
AUT-032,Webhooks reales de Kira,"Tunel publico, verificacion de firma en KiraWebhookVerifier contra entregas reales y reproyeccion.",to do,High,Carolina Lopez,2026-09-30,2026-09-30,7h30m,"Fase 3 - Pagos, webhooks y RFIs","Fase 3 - Pagos, webhooks y RFIs"
AUT-033,Bruno 03 RFIs en sandbox,"Carpeta 03 contra el sandbox, con la suscripcion rfi.* ya concedida.",to do,High,Carolina Lopez,2026-10-01,2026-10-01,6h,"Fase 3 - Pagos, webhooks y RFIs","Fase 3 - Pagos, webhooks y RFIs"
AUT-034,Guardar resolution_reason de RFIs cerrados,Hoy no se guarda si un RFI cerro por expired o rejected.,to do,Normal,Carolina Lopez,2026-10-01,2026-10-01,1h30m,"Fase 3 - Pagos, webhooks y RFIs","Fase 3 - Pagos, webhooks y RFIs"
AUT-035,Corregir defectos de pagos y webhooks,Dia reservado a lo que destape la semana.,to do,High,Carolina Lopez,2026-10-02,2026-10-02,6h30m,"Fase 3 - Pagos, webhooks y RFIs","Fase 3 - Pagos, webhooks y RFIs"
AUT-036,Propagar warnings[] de Kira al portal,La respuesta de Kira trae warnings que hoy se pierden.,to do,Normal,Carolina Lopez,2026-10-05,2026-10-05,4h,Fase 4 - Cierre funcional,Fase 4 - Cierre funcional
AUT-037,Cerrar pendientes de documentos KYB,user.document.download.failed sin procesar y ausencia de listado o borrado de documentos ya subidos.,to do,Low,Carolina Lopez,2026-10-05,2026-10-05,3h30m,Fase 4 - Cierre funcional,Fase 4 - Cierre funcional
AUT-038,Decidir las tablas huerfanas de dev,"audit_log, operator_user, payout, tenant y webhook_event no las usa ninguna entidad: restos del esquema anterior.",to do,Low,Carolina Lopez,2026-10-06,2026-10-06,3h30m,Fase 4 - Cierre funcional,Fase 4 - Cierre funcional
AUT-039,Decidir pago sin cotizacion y memo en WIRE,Hoy se permite aprobar un pago sin cotizacion y memo no es obligatorio en WIRE.,to do,Normal,Carolina Lopez,2026-10-06,2026-10-06,4h,Fase 4 - Cierre funcional,Fase 4 - Cierre funcional
AUT-040,Honrar expires_in del token de Kira,"KiraClientConfig cachea 3300 s fijos. El sandbox devuelve 86400. Es conservador, pero lo correcto es leer expires_in.",to do,Normal,Carolina Lopez,2026-10-07,2026-10-07,4h,Fase 4 - Cierre funcional,Fase 4 - Cierre funcional
AUT-041,Endpoint de gestion de operadores,Solo si se decide incluirlo en el alcance de esta entrega.,to do,Low,Carolina Lopez,2026-10-07,2026-10-07,3h30m,Fase 4 - Cierre funcional,Fase 4 - Cierre funcional
AUT-042,Documentacion final al dia,"API-GUIA, GUIA-BRUNO, ARQUITECTURA y ESTADO, mas la coleccion Bruno verificada.",to do,High,Carolina Lopez,2026-10-08,2026-10-08,7h30m,Fase 4 - Cierre funcional,Fase 4 - Cierre funcional
AUT-043,Congelacion de alcance,Suite completa verde. Nada nuevo entra despues de hoy.,to do,High,Carolina Lopez,2026-10-09,2026-10-09,6h30m,Fase 4 - Cierre funcional,Fase 4 - Cierre funcional
AUT-044,Aplicar el DDL a mano en cert,"Cert y prod van con ddl-auto validate y sin Flyway: 4 sentencias sobre rfis, verification_sessions, webhooks_log y ubos. Si no se aplican antes, el arranque falla la validacion.",to do,Urgent,Carolina Lopez,2026-10-13,2026-10-13,3h30m,Fase 5 - Certificacion y entrega,Fase 5 - Certificacion y entrega
AUT-045,Cargar secretos rotados y desplegar a cert,Las credenciales nuevas de Kira en el gestor de secretos del entorno.,to do,Urgent,Carolina Lopez,2026-10-13,2026-10-13,4h,Fase 5 - Certificacion y entrega,Fase 5 - Certificacion y entrega
AUT-046,Smoke: coleccion Bruno completa contra cert,Las 86 peticiones contra certificacion con las credenciales nuevas.,to do,High,Carolina Lopez,2026-10-14,2026-10-14,5h30m,Fase 5 - Certificacion y entrega,Fase 5 - Certificacion y entrega
AUT-047,Verificar los 5 workers en cert,Que arrancan y reconcilian con bff.reconciliation.enabled activo.,to do,High,Carolina Lopez,2026-10-14,2026-10-14,2h,Fase 5 - Certificacion y entrega,Fase 5 - Certificacion y entrega
AUT-048,Acta de entrega y traspaso,Evidencias del recorrido y entrega de la integracion completa.,to do,Urgent,Carolina Lopez,2026-10-15,2026-10-15,7h30m,Fase 5 - Certificacion y entrega,Fase 5 - Certificacion y entrega
AUT-049,Pedir a Kira la suscripcion a rfi.*,Sin ella los RFIs no llegan por webhook y solo funcionan por sincronizacion manual. Se necesita antes del 1 de octubre.,to do,Urgent,Carolina Lopez,2026-09-16,2026-09-30,30m,Bloqueantes externos - Kira,Bloqueantes externos - Kira
AUT-050,Pedir a Kira credenciales nuevas de Cognito,"La api_key y el secreto actuales se compartieron por chat, un canal no seguro. No pueden ir a produccion. Se necesitan antes del 13 de octubre.",to do,Urgent,Carolina Lopez,2026-09-16,2026-10-08,30m,Bloqueantes externos - Kira,Bloqueantes externos - Kira
AUT-051,Conseguir host publico para los webhooks,Tunel o dominio preautorizado para recibir entregas reales y verificar la firma. Se necesita antes del 30 de septiembre.,to do,High,Carolina Lopez,2026-09-16,2026-09-29,30m,Bloqueantes externos - Kira,Bloqueantes externos - Kira
