Task ID,Task Name,Estado en ClickUp,Estado nuevo,Evidencia
AUT-001,RFIs: modelar que bloquean,to do,Complete,Columnas blocking_type y blocking_resource_id mas idx_rfis_blocking. Commit dc6af92 (10-sep).
AUT-002,Depurar el alcance del BFF,to do,Complete,"8 endpoints, 29 clases, 33 pruebas y la tabla verification_sessions eliminados; fuera Postman y Thymeleaf. ESTADO 3.1, commit ed853d3 (11-sep)."
AUT-003,Corregir ids locales enviados a Kira,to do,Complete,Cotizar y pagar traducen a kiraAccountId/kiraRecipientId antes de enviar. ESTADO 3.2 (11-sep).
AUT-004,Corregir defectos D1 a D6,to do,Complete,D1 rehydrate conserva createdAt en 7 agregados; D3 503 kira_not_configured; D4 actuator UP; D5 400/404/413. ESTADO 3.3 (11-sep).
AUT-005,Exponer 9 rutas de Kira al portal,to do,Complete,Documentos de RFI, payouts/preview, payouts/events, recipients/kira, deposits/sync y reference/countries. ESTADO 3.4 (11-sep).
AUT-006,Construir 5 workers de reconciliacion,to do,Complete,"infrastructure/reconciliation: Payout, Quotation, Liveness, Rfi, Tenant (hoy son 7 con VirtualAccount y WebhookReprojection). ESTADO 3.5."
AUT-007,Consolidar la idempotencia (F1),to do,Complete,IdempotencyKeyStore; el front no envia Idempotency-Key. ESTADO 3.5 (11-sep).
AUT-008,Cotizacion itemizada 2026-06-01,to do,Complete,Commit ed853d3 (11-sep).
AUT-009,Credenciales de sandbox y secretos,to do,Complete,.env fuera del repositorio via spring.config.import; verificado hoy con auth 200 contra api.balampay.com/sandbox.
AUT-010,Documentos KYB: subida de empresa y de UBO,to do,Complete,"POST /api/onboarding/documents y POST /api/ubos/{id}/documents, multipart files+types. Commit b339152 (14-sep)."
AUT-011,Corregir emparejamiento de UBOs por email,to do,Complete,SyncUbosService empareja por email; el correo es obligatorio para subir documentos del beneficiario.
AUT-012,Verificar documentos KYB end-to-end en sandbox,to do,Complete,"identifying_information del sandbox trae hoy nit, certificate_of_registration y 7 tipos mas con file_name y uploaded_at."
AUT-013,Borrador de onboarding,to do,Complete,"GET/PUT /api/onboarding/draft, tenants.onboarding_draft (64 KB, rechaza data:). Commit 26d8df4 (15-sep)."
AUT-014,Auditoria de alcance y cronograma,to do,Complete,REVISION-INTEGRAL-FRONT-BFF.md y REVISION-REQUISITOS-VS-CODIGO.md. Commits c195069 y cfdadbf (15-sep).
AUT-015,Excluir type y external_id del PUT de onboarding,to do,Complete,SubmitOnboardingService.forUpdate los quita; verificado leyendo el metodo hoy (17-sep).
AUT-016,Prueba de regresion del contrato del PUT,to do,Complete,Prueba elPutNoLlevaLasClavesQueSoloExistenEnElAlta. Suite: 434 pruebas verdes (17-sep).
AUT-017,Verificar el PUT contra el sandbox,to do,Complete,PUT /api/onboarding 200 con juriscop (15-sep). Pendiente reverificar con international_entity_type (ver AUT-059).
AUT-018,Exponer el enum cerrado de business_type,to do,Complete,BUSINESS_TYPES en kyb-catalog.ts y selector en company-step.ts.
AUT-019,Commitear la rama depuracion-bff,to do,Complete,"24 commits por tema en develop; ramas main, certificacion y produccion. El front ya tiene 15 commits (el 15-sep no tenia ninguno)."
AUT-020,Bruno modo B: Sesion y Onboarding KYB,to do,Complete,"Bruno 00 y 01 contra el sandbox: 104/104 peticiones, 67/67 tests (15-sep)."
AUT-021,Bruno modo B: Beneficiarios finales,to do,Complete,Bruno 02 contra el sandbox; sync de beneficiarios 200.
